,dataset,n,type,volfrac,r,particle_size,cnr,brightness,snr,f_sigma,b_sigma,n_particles
0,x_train,0,large,0.25,9,0.1421528078279998,4.283048078941751,186,3.5632064339256555,10,15,31
1,x_train,1,large,0.25,12,0.5071853985100431,7.624853298363162,58,8.531146575811869,10,15,13
2,x_train,2,large,0.25,9,0.1657391009961162,7.809519546737962,36,5.50393581004632,10,15,36
3,x_train,3,medium,0.25,7,0.3661856903219931,6.495379401837514,75,6.145153185443217,10,15,63
4,x_train,4,medium,0.25,7,0.7989714356628635,7.213057307689477,130,9.90669095748931,10,15,62
5,x_train,5,medium,0.25,7,0.6791935295390518,2.558597415138825,68,6.106052688536867,10,15,66
6,x_train,6,medium,0.25,7,0.1574475402029749,8.082955425998534,175,5.67605515494968,10,15,59
7,x_train,7,medium,0.25,7,0.8329012829129447,7.413594061695739,171,4.312562445752223,10,15,65
8,x_train,8,medium,0.25,7,0.4074416851883761,3.8160138845025497,34,6.306942227264388,10,15,62
9,x_train,9,large,0.25,10,0.2546774613328557,8.608286294272832,184,7.314652705161527,10,15,28
10,x_train,10,medium,0.25,7,0.5018034158832516,9.747789378173064,144,2.2186841414214378,10,15,56
11,x_train,11,very small,0.25,4,0.8486851241919691,3.0759376510784664,128,8.116815683240256,10,15,306
12,x_train,12,very small,0.25,4,0.8563066275567152,6.233501174565296,188,2.738330961154607,10,15,294
13,x_train,13,medium,0.25,7,0.5335197366505132,3.6492042288934976,145,2.32268029034675,10,15,64
14,x_train,14,medium,0.25,7,0.328924357293617,4.266479432685903,48,9.103999865579633,10,15,66
15,x_train,15,very small,0.25,5,0.1263274039226716,4.153837941796334,169,8.775204532319627,10,15,156
16,x_train,16,large,0.25,9,0.6140250249853506,4.520584329572649,90,9.942659478534818,10,15,34
17,x_train,17,medium,0.25,7,0.8687043474654615,8.222531517667448,153,7.650672818483377,10,15,67
18,x_train,18,medium,0.25,7,0.7231857368394209,8.753962213304927,161,7.585735431651863,10,15,59
19,x_train,19,medium,0.25,7,0.6430988676001382,9.810624544701389,76,4.319904064900427,10,15,66
20,x_train,20,large,0.25,9,0.6291787633771803,4.604930429290021,169,8.192030853007836,10,15,31
21,x_train,21,very small,0.25,5,0.4249370954630117,6.299165444059829,191,5.045182536719595,10,15,163
22,x_train,22,medium,0.25,7,0.6826386298281917,3.409826700324401,108,1.4060564320071471,10,15,63
23,x_train,23,large,0.25,10,0.5073253767429595,6.834945841445057,91,6.401272568417457,10,15,26
24,x_train,24,large,0.25,12,0.5907596750996179,6.050825610920647,176,5.334454848176345,10,15,16
25,x_train,25,large,0.25,9,0.2643123792053087,6.73976287384719,94,6.718634402568684,10,15,36
26,x_train,26,large,0.25,9,0.4981829306212153,8.166890742412507,153,8.13853989720655,10,15,34
27,x_train,27,medium,0.25,7,0.8427502080213476,4.059752349633395,73,9.989696988946916,10,15,70
28,x_train,28,medium,0.25,7,0.9482401658782128,4.746556045210291,46,3.808952731232141,10,15,69
29,x_train,29,very small,0.25,4,0.1951007982344581,3.0436156783334103,170,5.526750811128093,10,15,296
30,x_train,30,medium,0.25,7,0.6817149887372209,5.462332981124347,192,2.907193201565469,10,15,64
31,x_train,31,large,0.25,8,0.2073907640839901,7.209341902328852,84,2.9484638679685715,10,15,47
32,x_train,32,very small,0.25,5,0.7923131984142404,4.921783317351065,49,2.5947914653264275,10,15,164
33,x_train,33,very small,0.25,4,0.155473942153574,4.490436763091201,76,9.033256826861336,10,15,293
34,x_train,34,large,0.25,8,0.8518255404037237,1.842547219953665,162,1.4326869122032346,10,15,41
35,x_train,35,large,0.25,10,0.9703608815770944,9.16273866141246,128,7.004203119651363,10,15,24
36,x_train,36,medium,0.25,7,0.9924379710743274,9.669109596554366,153,3.975616802724744,10,15,61
37,x_train,37,very small,0.25,4,0.7587534759019441,9.792186076323487,144,3.167906830663866,10,15,292
38,x_train,38,medium,0.25,7,0.6754000040136777,9.099553058999565,30,8.15805875868044,10,15,55
39,x_train,39,large,0.25,13,0.3477798409777025,4.445907834992932,56,3.931510424030938,10,15,10
40,x_train,40,very small,0.25,4,0.9669047495114236,2.8752790324681325,65,4.448990258316057,10,15,299
41,x_train,41,very small,0.25,5,0.2679852401791228,8.499889647300282,37,8.946761731450207,10,15,158
42,x_train,42,very small,0.25,4,0.2324456336730467,4.166831732253973,56,4.381853376137984,10,15,292
43,x_train,43,large,0.25,11,0.2113098272858922,9.23388221299587,189,4.234114338351525,10,15,19
